geometry,name
POINT (-120.54349 41.48714),Alturas
POINT (-119.01871 35.37329),Baker
POINT (-119.01871 35.37329),Bakersfield
POINT (-118.39511 37.36354),Bishop
POINT (-120.71021 39.27462),Blue Canyon
POINT (-124.28994 42.07511),Brookings
POINT (-121.67328 36.17107),Burns
POINT (-115.95814 41.38602),Elko
POINT (-122.74471 38.94768),Ely
POINT (-124.16367 40.80207),Eureka
POINT (-122.03997 38.24936),Fairfield
POINT (-123.917 40.70902),Flagstaff
POINT (-119.77237 36.74773),Fresno
POINT (-112.71683 32.94782),Gila Bend
POINT (-115.49888 32.67895),Imperial
POINT (-115.39589 40.87492),John Day
POINT (-121.78167 42.22487),Klamath Falls
POINT (-117.11809 33.83863),Lakeview
POINT (-115.1454 36.1729),Las Vegas
POINT (-121.76801 37.68187),Livermore
POINT (-118.24368 34.05223),Los Angeles
POINT (-120.64489 35.99135),Medford
POINT (-121.89468 36.60024),Monterey
POINT (-114.61413 34.84806),Needles
POINT (-116.54529 33.8303),Palm Springs
POINT (-117.35515 33.30125),Pendleton
POINT (-122.57183 37.95765),Phoenix
POINT (-122.67724 45.52122),Portland
POINT (-122.39168 40.58654),Redding
POINT (-116.55335 33.06338),Redmond
POINT (-120.09992 39.79185),Reno
POINT (-123.17956 43.28535),Roseburg
POINT (-121.4944 38.58157),Sacramento
POINT (-119.04427 35.96245),Salem
POINT (-117.16472 32.71571),San Diego
POINT (-122.41942 37.77493),San Francisco
POINT (-121.89496 37.33939),San Jose
POINT (-120.65962 35.28275),San Luis Obispo
POINT (-122.71443 38.44047),Santa Rosa
POINT (-121.29078 37.9577),Stockton
POINT (-121.17868 45.59456),The Dalles
POINT (-110.74147 31.78175),Tucson
POINT (-122.63447 41.73542),Yreka
POINT (-114.6453 32.78439),Yuma
